switch_ip,interface,mac_voice,mac_access,ip_voice,ip_access
192.168.164.5,Gi1/0/46,N/A,f4bd.9ed1.34fc,N/A,192.168.202.64
192.168.164.5,Gi1/0/47,0038.df01.f08f,0023.2498.0d97,192.168.165.67,192.168.164.157
192.168.164.5,Gi1/0/48,N/A,14c9.1305.1a1d,N/A,192.168.164.161
192.168.164.5,Gi2/0/1,N/A,cc2d.8c18.4745,N/A,192.168.202.55
192.168.164.5,Gi2/0/2,N/A,0080.64ad.ee30,N/A,192.168.164.54
192.168.164.5,Gi2/0/3,N/A,cc2d.8cbf.a36d,N/A,192.168.202.155
192.168.164.5,Gi2/0/4,N/A,cc2d.8c18.466a,N/A,192.168.202.50
192.168.164.5,Gi2/0/5,N/A,cc2d.8cb2.5ce8,N/A,192.168.202.58
192.168.164.5,Gi2/0/7,501c.b00c.0141,1860.24e8.c3cc,192.168.165.52,192.168.164.59
192.168.164.5,Gi2/0/8,N/A,cc2d.8c18.46b2,N/A,192.168.202.154
192.168.164.5,Gi2/0/10,0076.86fd.5071,0023.2497.c3df,192.168.165.66,192.168.164.159
192.168.164.5,Gi2/0/16,d0d0.fde8.b8c2,0080.64ad.dc55,192.168.165.57,192.168.164.60
192.168.164.5,Gi2/0/24,0038.df01.f413,6400.6a79.6e9e,192.168.165.61,192.168.164.63
192.168.164.5,Gi2/0/25,N/A,6c2b.59e4.2fde,N/A,192.168.164.91
192.168.164.5,Gi2/0/27,ac44.f215.ff5f,N/A,192.168.165.50,N/A
192.168.164.5,Gi2/0/28,N/A,00e0.db53.5c3c,N/A,192.168.164.162
192.168.164.5,Gi2/0/30,N/A,cc2d.8c18.46be,N/A,192.168.202.52
192.168.164.5,Gi2/0/31,N/A,cc2d.8c18.46e4,N/A,192.168.202.51
192.168.164.5,Gi2/0/32,203a.0782.3143,80e8.2c32.fe10,192.168.165.54,192.168.164.177
192.168.164.5,Gi2/0/33,N/A,74bf.c0fd.7098,N/A,10.1.100.186
192.168.164.5,Gi2/0/35,N/A,2829.863d.164f,N/A,192.168.164.52
192.168.164.5,Gi2/0/37,N/A,cc2d.8c18.4746,N/A,192.168.202.157
192.168.164.5,Gi2/0/38,N/A,cc2d.8cb2.5ceb,N/A,192.168.202.60
192.168.164.5,Gi2/0/39,N/A,cc2d.8c18.46e1,N/A,192.168.202.59
192.168.164.5,Gi2/0/40,N/A,cc2d.8c18.4710,N/A,192.168.202.57
192.168.164.5,Gi2/0/41,N/A,cc2d.8c18.46ff,N/A,192.168.202.160
192.168.164.5,Gi2/0/42,7001.b5db.3f40,14c9.13a7.8ac9,192.168.165.71,192.168.202.159
192.168.164.5,Gi2/0/43,N/A,cc2d.8c18.464c,N/A,192.168.202.53
192.168.164.5,Gi2/0/44,N/A,cc2d.8c18.46a4,N/A,192.168.202.156
192.168.164.5,Gi2/0/45,N/A,cc2d.8c18.46f3,N/A,192.168.202.161
192.168.164.5,Gi2/0/46,N/A,cc2d.8c18.46b5,N/A,192.168.202.158
192.168.164.5,Gi2/0/47,N/A,cc2d.8c18.46af,N/A,192.168.202.56
192.168.164.5,Gi2/0/48,N/A,0023.7d8a.4ec4,N/A,192.168.164.90
192.168.176.10,Gi1/0/2,N/A,f4ea.6715.99b0,N/A,192.168.176.250
192.168.176.10,Gi1/0/3,203a.0782.3823,0080.64ad.fcf6,192.168.177.77,192.168.176.13
192.168.176.10,Gi1/0/4,N/A,2c9e.fc42.80c3,N/A,192.168.176.50
192.168.176.10,Gi1/0/6,N/A,84ba.3b9a.5f74,N/A,192.168.176.23
192.168.176.10,Gi1/0/7,cc70.ed34.1ecc,a823.fea2.fa96,192.168.177.162,192.168.176.33
192.168.176.10,Gi1/0/9,N/A,14c9.1305.18c9,N/A,192.168.176.154
192.168.176.10,Gi1/0/10,N/A,a8b4.5632.34f4,N/A,192.168.176.146
192.168.176.10,Gi1/0/11,N/A,14c9.132d.5be1,N/A,192.168.176.153
192.168.176.10,Gi1/0/12,N/A,54e1.401f.9661,N/A,192.168.176.132
192.168.176.10,Gi1/0/13,N/A,14c9.1305.19b5,N/A,192.168.176.161
192.168.176.10,Gi1/0/14,N/A,f8c2.88cb.f188,N/A,192.168.176.21
192.168.176.10,Gi1/0/15,N/A,14c9.132d.5a46,N/A,192.168.176.149
192.168.176.10,Gi1/0/16,N/A,a8b4.56a7.e608,N/A,192.168.176.18
192.168.176.10,Gi1/0/17,682c.7b5c.7d56,14c9.132d.8594,192.168.177.160,192.168.176.26
192.168.176.10,Gi1/0/18,N/A,14c9.1305.1a67,N/A,192.168.176.157
192.168.176.10,Gi1/0/19,N/A,74bf.c045.760f,N/A,192.168.176.27
192.168.176.10,Gi1/0/20,N/A,a8b4.5632.35e4,N/A,192.168.176.19
192.168.176.10,Gi1/0/21,N/A,80e8.2c2c.1d9d,N/A,192.168.176.34
192.168.176.10,Gi1/0/22,N/A,14c9.132d.59ac,N/A,192.168.176.30
192.168.176.10,Gi1/0/23,f8b7.e295.24de,14c9.1304.da4e,192.168.177.52,192.168.176.139
192.168.176.10,Gi1/0/24,N/A,14c9.1305.1799,N/A,192.168.176.158
192.168.176.10,Gi1/0/25,0045.1d86.23ce,3ccd.936f.8368,192.168.177.54,192.168.176.148
192.168.176.10,Gi1/0/27,N/A,54e1.401f.9433,N/A,192.168.176.22
192.168.176.10,Gi1/0/28,N/A,3ccd.936f.8145,N/A,192.168.176.147
192.168.176.10,Gi1/0/30,1ce6.c79a.72bd,3ccd.93cb.aa56,192.168.177.55,192.168.176.20
192.168.176.10,Gi1/0/31,203a.0782.6115,14c9.13a7.f498,192.168.177.58,192.168.176.35
192.168.176.10,Gi1/0/32,203a.0782.56a9,14c9.1305.18f0,192.168.177.165,192.168.176.143
192.168.176.10,Gi1/0/33,N/A,14c9.132d.5ca9,N/A,192.168.176.164
192.168.176.10,Gi1/0/35,50f7.2271.bb39,2017.4263.a769,192.168.177.159,192.168.176.142
192.168.176.10,Gi1/0/37,N/A,0007.4d99.fe65,N/A,192.168.176.25
192.168.176.10,Gi1/0/38,203a.0782.5841,14c9.13a7.8881,192.168.177.57,192.168.176.11
192.168.176.10,Gi1/0/39,N/A,14c9.132d.5c1c,N/A,192.168.176.160
192.168.176.10,Gi1/0/40,203a.0782.63b9,14c9.1305.1a40,192.168.177.51,192.168.176.141
192.168.176.10,Gi1/0/41,N/A,2017.4263.a785,N/A,192.168.176.131
192.168.176.10,Gi1/0/42,20bb.c0de.d1d0,3ccd.93c3.1530,192.168.177.53,192.168.176.28
192.168.176.10,Gi1/0/43,N/A,14c9.1305.0397,N/A,192.168.176.32
192.168.176.10,Gi1/0/45,N/A,14c9.1304.d74c,N/A,192.168.176.145
192.168.176.10,Gi1/0/46,f8b7.e295.082c,3ccd.936f.812f,192.168.177.161,192.168.176.140
192.168.176.10,Gi1/0/47,N/A,14c9.1305.1aa6,N/A,192.168.176.36
192.168.176.10,Gi1/0/48,20bb.c0de.e742,14c9.13a7.8bc0,192.168.177.56,192.168.176.152
10.113.0.1,Gi1/0/1,7001.b576.f620,14c9.13a7.5fd5,10.113.1.39,10.113.0.164
10.113.0.1,Gi1/0/3,682c.7b5d.e140,14c9.13a7.9335,10.113.1.27,10.113.0.51
10.113.0.1,Gi1/0/4,00bc.60be.45f8,14c9.13a7.48e2,10.113.1.142,10.113.0.50
10.113.0.1,Gi1/0/5,7001.b5db.d624,14c9.13a7.c194,10.113.1.140,10.113.0.162
10.113.0.1,Gi1/0/6,N/A,f481.39c9.270a,N/A,10.113.0.36
10.113.0.1,Gi1/0/7,N/A,f481.39dc.f95d,N/A,10.113.0.35
10.113.0.1,Gi1/0/10,N/A,0023.2448.30f3,N/A,10.113.0.166
10.113.0.1,Gi1/0/11,a093.5110.091b,14c9.13a7.93a4,10.113.1.141,10.113.0.167
10.113.0.1,Gi1/0/12,00bc.60be.51f4,14c9.13a7.5daa,10.113.1.30,10.113.0.163
10.113.0.1,Gi1/0/13,682c.7b5d.a644,a823.fea2.fa08,10.113.1.23,10.113.0.170
10.113.0.1,Gi1/0/15,08cc.a785.0908,14c9.13a7.c559,10.113.1.43,10.113.0.161
10.113.0.1,Gi1/0/16,00bc.60be.5060,14c9.13a7.9314,10.113.1.146,10.113.0.69
10.113.0.1,Gi1/0/17,N/A,f481.39de.e2b9,N/A,10.113.0.73
10.113.0.1,Gi1/0/18,00bc.60be.4de8,14c9.13a7.5fa1,10.113.1.33,10.113.0.45
10.113.0.1,Gi1/0/19,2c73.a0de.a0be,N/A,10.113.1.46,N/A
10.113.0.1,Gi1/0/20,N/A,54e1.401f.95ea,N/A,10.113.0.67
10.113.0.1,Gi1/0/23,682c.7b5d.be72,14c9.13a7.c38f,10.113.1.154,10.113.0.62
10.113.0.1,Gi1/0/24,a093.5110.1b77,14c9.13a7.c268,10.113.1.147,10.113.0.71
10.113.0.1,Gi1/0/25,7001.b577.bc22,14c9.13a7.8d23,10.113.1.156,10.113.0.177
10.113.0.1,Gi1/0/27,N/A,14c9.13a7.6073,N/A,10.113.0.44
10.113.0.1,Gi1/0/28,N/A,54e1.401f.944f,N/A,10.113.0.79
10.113.0.1,Gi1/0/29,N/A,14c9.13a7.931f,N/A,10.113.0.41
10.113.0.1,Gi1/0/31,N/A,14c9.13a7.937c,N/A,10.113.0.155
10.113.0.1,Gi1/0/33,N/A,14c9.13a7.92f0,N/A,10.113.0.153
10.113.0.1,Gi1/0/34,0076.86fc.9f59,14c9.13a7.5dee,10.113.1.155,10.113.0.31
10.113.0.1,Gi1/0/35,N/A,14c9.13a7.93b1,N/A,10.113.0.23
10.113.0.1,Gi1/0/36,7001.b5db.3dd4,14c9.13a7.5f62,10.113.1.24,10.113.0.55
10.113.0.1,Gi1/0/37,N/A,14c9.13a7.c4ca,N/A,10.113.0.46
10.113.0.1,Gi1/0/38,a093.5110.1b7f,14c9.13a7.9332,10.113.1.36,10.113.0.56
10.113.0.1,Gi1/0/39,N/A,14c9.13a7.93ae,N/A,10.113.0.43
10.113.0.1,Gi1/0/40,a093.5110.0d71,14c9.132d.8c64,10.113.1.34,10.113.0.172
10.113.0.1,Gi1/0/41,N/A,14c9.13a7.92eb,N/A,10.113.0.42
10.113.0.1,Gi1/0/42,7001.b5db.d26a,14c9.13a7.93bb,10.113.1.150,10.113.0.63
10.113.0.1,Gi1/0/44,7018.a716.9310,14c9.13a7.8875,10.113.1.44,10.113.0.70
10.113.0.1,Gi2/0/1,7001.b5db.d4b2,14c9.13a7.5d91,10.113.1.20,10.113.0.81
10.113.0.1,Gi2/0/2,N/A,14c9.13a7.930a,N/A,10.113.0.49
10.113.0.1,Gi2/0/3,7001.b5db.40c8,14c9.13a7.93cc,10.113.1.41,10.113.0.85
10.113.0.1,Gi2/0/4,N/A,14c9.13a7.9462,N/A,10.113.0.156
10.113.0.1,Gi2/0/5,7001.b5db.d440,14c9.13a7.9305,10.113.1.149,10.113.0.169
10.113.0.1,Gi2/0/6,N/A,14c9.13a7.c1fc,N/A,10.113.0.25
10.113.0.1,Gi2/0/7,7001.b5da.b102,14c9.13a7.9395,10.113.1.40,10.113.0.57
10.113.0.1,Gi2/0/8,N/A,14c9.13a7.c17d,N/A,10.113.0.59
10.113.0.1,Gi2/0/9,a093.5110.18ad,3822.e215.cb92,10.113.1.152,10.113.0.61
10.113.0.1,Gi2/0/10,N/A,f481.39de.196e,N/A,10.113.0.30
10.113.0.1,Gi2/0/14,7001.b5db.3d72,14c9.13a7.5dce,10.113.1.143,10.113.0.29
10.113.0.1,Gi2/0/15,N/A,0007.4d7d.b1f8,N/A,10.113.0.80
10.113.0.1,Gi2/0/16,7001.b5db.d2ae,14c9.13a7.c37a,10.113.1.28,10.113.0.171
10.113.0.1,Gi2/0/17,N/A,14c9.132d.86a3,N/A,10.113.0.77
10.113.0.1,Gi2/0/18,7001.b5db.df48,14c9.13a7.5e25,10.113.1.38,10.113.0.142
10.113.0.1,Gi2/0/20,N/A,14c9.13a7.9497,N/A,10.113.0.165
10.113.0.1,Gi2/0/22,N/A,48ba.4ede.1f4c,N/A,10.113.0.183
10.113.0.1,Gi2/0/23,N/A,14c9.13a7.93da,N/A,10.113.0.22
10.113.0.1,Gi2/0/24,5ce1.7684.2efc,b00c.d16f.fcf9,10.113.1.45,10.113.0.185
10.113.0.1,Gi2/0/25,N/A,a823.fea2.f428,N/A,10.113.0.158
10.113.0.1,Gi2/0/26,N/A,14c9.13a7.5d9d,N/A,10.113.0.26
10.113.0.1,Gi2/0/27,N/A,14c9.13a7.5fff,N/A,10.113.0.20
10.113.0.1,Gi2/0/28,N/A,14c9.13a7.c1ac,N/A,10.113.0.27
10.113.0.1,Gi2/0/29,N/A,14c9.13a7.9467,N/A,10.113.0.24
10.113.0.1,Gi2/0/30,N/A,14c9.13a7.c50b,N/A,10.113.0.159
10.113.0.1,Gi2/0/31,N/A,14c9.13a7.5d9c,N/A,10.113.0.28
10.113.0.1,Gi2/0/32,N/A,14c9.132d.8cd2,N/A,10.113.0.157
10.113.0.1,Gi2/0/33,N/A,14c9.13a7.5df0,N/A,10.113.0.128
10.113.0.1,Gi2/0/34,N/A,14c9.13a7.5dbf,N/A,10.113.0.47
10.113.0.1,Gi2/0/36,00bc.60be.438a,14c9.13a7.c368,10.113.1.22,10.113.0.60
10.113.0.1,Gi2/0/37,N/A,14c9.13a7.933c,N/A,10.113.0.48
10.113.0.1,Gi2/0/38,7001.b5da.b0d0,14c9.13a7.c50c,10.113.1.42,10.113.0.154
10.113.0.1,Gi2/0/39,a093.5110.1781,14c9.13a7.5fd0,10.113.1.25,10.113.0.37
10.113.0.1,Gi2/0/40,7001.b5db.d6f6,14c9.13a7.c569,10.113.1.148,10.113.0.160
10.113.0.1,Gi2/0/41,00bc.60be.09a6,14c9.13a7.9407,10.113.1.137,10.113.0.173
10.113.0.1,Gi2/0/42,N/A,f481.39de.16c2,N/A,10.113.0.32
10.113.0.1,Gi2/0/43,00bc.60be.0af6,14c9.132d.8c8b,10.113.1.138,10.113.0.38
10.113.0.1,Gi2/0/45,N/A,f481.39de.16b8,N/A,10.113.0.143
10.113.0.1,Gi2/0/46,N/A,14c9.13a7.5ed2,N/A,10.113.0.130
10.113.0.1,Gi2/0/48,N/A,14c9.13a7.5ed7,N/A,10.113.0.129
10.113.0.1,Gi3/0/1,N/A,14c9.13a7.5df7,N/A,10.113.0.135
10.113.0.1,Gi3/0/2,a093.5110.1b95,a823.fea2.ec7f,10.113.1.31,10.113.0.180
10.113.0.1,Gi3/0/3,N/A,14c9.13a7.5e23,N/A,10.113.0.21
10.113.0.1,Gi3/0/4,N/A,54e1.401f.9873,N/A,10.113.0.78
10.113.0.1,Gi3/0/5,N/A,f481.39de.169f,N/A,10.113.0.141
10.113.0.1,Gi3/0/7,N/A,00eb.d5de.c818,N/A,10.113.1.35
10.113.0.1,Gi3/0/11,a093.5110.08bf,14c9.13a7.5e65,10.113.1.26,10.113.0.168
10.113.0.1,Gi3/0/12,N/A,0017.6b80.001f,N/A,10.113.3.138
10.113.0.1,Gi3/0/13,7001.b5db.487e,14c9.13a7.5d94,10.113.1.21,10.113.0.53
10.113.0.1,Gi3/0/14,N/A,0010.8d04.f312,N/A,10.113.3.140
10.113.0.1,Gi3/0/15,00bc.60be.45f4,14c9.13a7.c3af,10.113.1.37,10.113.0.40
10.113.0.1,Gi3/0/16,N/A,0040.8ca5.3ccf,N/A,10.113.3.143
10.113.0.1,Gi3/0/17,00bc.60be.4c36,14c9.132d.8ceb,10.113.1.145,10.113.0.176
10.113.0.1,Gi3/0/18,N/A,0040.8ca5.3ccc,N/A,10.113.3.139
10.113.0.1,Gi3/0/19,00bc.60be.4d56,14c9.13a7.9315,10.113.1.29,10.113.0.52
10.113.0.1,Gi3/0/20,N/A,0040.8ca5.3cbd,N/A,10.113.3.141
10.113.0.1,Gi3/0/21,7001.b5db.dd18,14c9.13a7.93f8,10.113.1.139,10.113.0.39
10.113.0.1,Gi3/0/22,N/A,0040.8ca4.ef65,N/A,10.113.3.21
10.113.0.1,Gi3/0/23,N/A,34ed.1b8d.9048,N/A,10.113.0.193
10.113.0.1,Gi3/0/24,N/A,0040.8ca5.3c9b,N/A,10.113.3.22
10.113.0.1,Gi3/0/25,N/A,34ed.1bda.63f8,N/A,10.113.0.84
10.113.0.1,Gi3/0/27,N/A,34ed.1bda.6aa8,N/A,10.113.0.192
10.113.0.1,Gi3/0/28,N/A,0040.8ca5.3ccb,N/A,10.113.3.23
10.113.0.1,Gi3/0/29,N/A,34ed.1bda.6c58,N/A,10.113.0.83
10.113.0.1,Gi3/0/31,N/A,34ed.1bda.69b4,N/A,10.113.0.190
10.113.0.1,Gi3/0/32,N/A,54e1.401f.93fd,N/A,10.113.0.186
10.113.0.1,Gi3/0/33,N/A,34ed.1b8d.81c4,N/A,10.113.0.194
10.113.0.1,Gi3/0/34,N/A,000f.e507.f424,N/A,10.113.3.24
10.113.0.1,Gi3/0/35,N/A,34ed.1bda.5fd4,N/A,10.113.0.74
10.113.0.1,Gi3/0/36,N/A,00c0.b7dd.4f2e,N/A,10.113.0.191
10.113.0.1,Gi3/0/37,N/A,34ed.1bda.6020,N/A,10.113.0.195
10.113.0.1,Gi3/0/38,N/A,0030.180d.b640,N/A,10.113.0.189
10.113.0.1,Gi3/0/39,N/A,14c9.13a7.5df8,N/A,10.113.0.134
10.113.0.1,Gi3/0/40,N/A,785d.c8be.fb79,N/A,10.113.0.64
10.113.0.1,Gi3/0/41,N/A,f481.39de.196b,N/A,10.113.0.34
10.113.0.1,Gi3/0/43,N/A,00eb.d5de.e538,N/A,10.113.1.151
10.113.0.1,Gi3/0/44,N/A,f481.39de.16a9,N/A,10.113.0.33
10.113.0.1,Gi3/0/46,a093.5110.072f,14c9.13a7.bf7a,10.113.1.144,10.113.0.65
10.113.0.1,Gi3/0/47,7001.b5db.3e30,14c9.13a7.5f6d,10.113.1.32,10.113.0.174
10.113.4.1,Gi1/0/1,c4b3.6aca.59a0,3822.e215.cd6f,10.113.5.144,10.113.4.32
10.113.4.1,Gi1/0/3,203a.0782.5f53,N/A,10.113.5.29,N/A
10.113.4.1,Gi1/0/4,f8b7.e295.646b,f439.090b.0ec4,10.113.5.27,10.113.4.148
10.113.4.1,Gi1/0/5,203a.0782.4fb9,84a9.3e00.43f1,10.113.5.21,10.113.4.21
10.113.4.1,Gi1/0/6,94d4.690c.aec6,fc4d.d432.1c2e,10.113.5.143,10.113.4.146
10.113.4.1,Gi1/0/7,dc7b.9477.e8e4,f439.090b.0e93,10.113.5.26,10.113.4.145
10.113.4.1,Gi1/0/9,c4c6.03f0.4494,40b0.3419.0fdf,10.113.5.23,10.113.4.27
10.113.4.1,Gi1/0/10,N/A,84b8.02c5.4bd4,N/A,10.113.4.152
10.113.4.1,Gi1/0/12,N/A,84b8.0270.131c,N/A,10.113.4.20
10.113.4.1,Gi1/0/13,N/A,f8a5.c5d4.9e38,N/A,10.113.4.151
10.113.4.1,Gi1/0/14,N/A,84b8.0277.3544,N/A,10.113.4.153
10.113.4.1,Gi1/0/15,2c31.24cd.5fca,1860.24ea.e6cb,10.113.5.140,10.113.4.144
10.113.4.1,Gi1/0/16,N/A,84b8.0288.40c4,N/A,10.113.4.140
10.113.4.1,Gi1/0/17,50f7.2271.27ee,f439.090b.0fcd,10.113.5.141,10.113.4.29
10.113.4.1,Gi1/0/18,N/A,84b8.0283.1920,N/A,10.113.4.22
10.113.4.1,Gi1/0/21,N/A,00e0.db57.d918,N/A,10.113.4.150
10.113.4.1,Gi1/0/25,2c01.b5e6.5d72,N/A,10.113.5.145,N/A
10.113.4.1,Gi1/0/27,N/A,00e0.db58.6832,N/A,10.113.4.149
10.113.4.1,Gi1/0/29,203a.0782.57cb,f439.0912.6fb7,10.113.5.25,10.113.4.30
10.113.4.1,Gi1/0/31,7018.a716.903a,f439.090b.0f38,10.113.5.22,10.113.4.26
10.113.4.1,Gi1/0/33,00cc.fc99.e49e,f439.090b.0ed9,10.113.5.139,10.113.4.143
10.113.4.1,Gi1/0/35,0038.df00.b39c,f439.090b.0ea2,10.113.5.138,10.113.4.25
10.113.4.1,Gi1/0/37,00cc.fc98.b608,N/A,10.113.5.24,N/A
10.113.4.1,Gi1/0/39,203a.0782.3595,f439.0912.5555,10.113.5.20,10.113.4.141
10.113.4.1,Gi1/0/41,N/A,00bb.c1cb.db0e,N/A,10.113.4.142
10.113.4.1,Gi1/0/45,0045.1d86.ac56,f439.091a.038d,10.113.5.142,10.113.4.31
10.2.200.8,Gi1/0/1,34db.fd18.6af6,N/A,10.2.204.63,N/A
10.2.200.8,Gi1/0/3,203a.0782.67c9,3ccd.936f.84ab,10.2.206.51,10.2.202.107
10.2.200.8,Gi1/0/4,N/A,a093.516e.de08,N/A,10.2.200.166
10.2.200.8,Gi1/0/5,5057.a887.803a,3ccd.936f.8300,10.2.206.33,10.2.202.106
10.2.200.8,Gi1/0/8,N/A,2c9e.fcd8.31b3,N/A,10.2.202.73
10.2.200.8,Gi1/0/10,N/A,14c9.1305.18ca,N/A,10.2.202.66
10.2.200.8,Gi1/0/11,N/A,2880.2312.f2ba,N/A,10.2.202.101
10.2.200.8,Gi1/0/12,N/A,74fe.485b.b5b5,N/A,10.2.202.104
10.2.200.8,Gi1/0/13,N/A,a0d3.c180.7712,N/A,10.2.200.218
10.2.200.8,Gi1/0/15,5057.a887.812e,3ccd.93c3.acbb,10.2.204.55,10.2.202.98
10.2.200.8,Gi1/0/16,N/A,14c9.13a7.5db1,N/A,10.2.202.77
10.2.200.8,Gi1/0/17,N/A,a0d3.c17e.e06e,N/A,10.2.200.165
10.2.200.8,Gi1/0/18,5057.a887.86c0,3822.e215.cd1a,10.2.206.42,10.2.200.173
10.2.200.8,Gi1/0/19,f8b7.e295.3548,785d.c8be.fbe6,10.2.204.38,10.2.200.148
10.2.200.8,Gi1/0/22,N/A,3ccd.93cb.9fec,N/A,10.2.202.78
10.2.200.8,Gi1/0/23,e0d1.73e0.29b9,3ccd.936f.8376,10.2.204.45,10.2.200.135
10.2.200.8,Gi1/0/24,0076.86fc.a097,N/A,10.2.206.54,N/A
10.2.200.8,Gi1/0/25,203a.0782.67c7,842b.2b9b.a899,10.2.206.4,10.2.200.118
10.2.200.8,Gi1/0/26,N/A,14c9.1305.02f7,N/A,10.2.200.169
10.2.200.8,Gi1/0/29,5057.a887.886e,14c9.132d.5e3a,10.2.206.30,10.2.202.128
10.2.200.8,Gi1/0/30,5057.a887.80f4,N/A,10.2.204.54,N/A
10.2.200.8,Gi1/0/31,N/A,8851.fbed.4697,N/A,10.2.200.144
10.2.200.8,Gi1/0/32,N/A,2c9e.fc43.03bd,N/A,10.2.200.145
10.2.200.8,Gi1/0/33,a44c.11dd.776c,14c9.132d.85ff,10.2.204.66,10.2.200.115
10.2.200.8,Gi1/0/34,N/A,2c9e.fc43.39db,N/A,10.2.200.146
10.2.200.8,Gi1/0/37,5057.a887.881e,3ccd.93c2.c985,10.2.206.29,10.2.200.104
10.2.200.8,Gi1/0/40,N/A,54e1.4085.6b5a,N/A,10.2.202.68
10.2.200.8,Gi1/0/41,203a.0782.5757,0080.64ad.de72,10.2.206.7,10.2.200.106
10.2.200.8,Gi1/0/46,N/A,2017.4263.ac4e,N/A,10.2.202.79
10.2.200.8,Gi1/0/47,20bb.c020.a89f,3ccd.93c3.acc3,10.2.204.44,10.2.200.126
10.2.200.8,Gi2/0/2,N/A,cc2d.8cb2.565c,N/A,10.2.200.111
10.2.200.8,Gi2/0/3,N/A,14c9.132d.5c51,N/A,10.2.202.117
10.2.200.8,Gi2/0/4,N/A,5cb9.0111.afcd,N/A,10.2.200.142
10.2.200.8,Gi2/0/5,N/A,14c9.1305.1943,N/A,10.2.200.150
10.2.200.8,Gi2/0/6,N/A,14c9.1305.1938,N/A,10.2.200.136
10.2.200.8,Gi2/0/7,N/A,14c9.132d.5bfa,N/A,10.2.202.124
